factor,level,ap50_mean,ap75_mean,delta_ap50_mean,delta_ap75_mean,missed_frac,loose_frac,tight_frac
clean,baseline,0.881235,0.863449,0.000000,0.000000,0.102293,0.047885,0.849823
blur,mild,0.876902,0.855191,0.004333,0.008258,0.109289,0.058568,0.832144
blur,medium,0.807050,0.746909,0.074186,0.116540,0.147483,0.134531,0.717986
blur,strong,0.618781,0.486356,0.262454,0.377093,0.261735,0.281068,0.457197
thicken,mild,0.623975,0.560794,0.257261,0.302655,0.245332,0.211487,0.543181
thicken,medium,0.252722,0.167577,0.628513,0.695872,0.526495,0.296620,0.176885
thicken,strong,0.090504,0.041507,0.790732,0.821943,0.725360,0.232522,0.042118
texture,mild,0.786065,0.764588,0.095171,0.098861,0.143654,0.051855,0.804491
texture,medium,0.690686,0.660315,0.190549,0.203134,0.187426,0.058473,0.754101
texture,strong,0.622508,0.586091,0.258727,0.277358,0.223635,0.067218,0.709147
clutter,mild,0.672378,0.600977,0.208857,0.262473,0.216970,0.163224,0.619806
clutter,medium,0.472237,0.403261,0.408998,0.460188,0.396833,0.173481,0.429686
clutter,strong,0.326543,0.265628,0.554692,0.597821,0.552777,0.152257,0.294966
